,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),-6.40%,0.94,1.00,1.27,64006,50464.10
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),-4.84%,1.18,1.24,4.87,82249,16880.95
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),-2.01%,10.70,10.92,2.14,47365,22160.86
3,AC.PA,Accor SA (ENXTPA:AC),-1.75%,32.47,33.05,1.48,1046281,709175.00
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),-1.71%,12.96,13.19,2.08,9933665,4769679.52
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),-5.51%,5.32,5.63,0.74,117891,158916.05
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),-2.34%,112.80,115.50,1.00,78600,78478.29
7,ADUX.PA,AdUX SA (ENXTPA:ADUX),-2.40%,1.63,1.67,1.16,13706,11795.85
8,AF.PA,Air France-KLM SA (ENXTPA:AF),-2.49%,7.75,7.94,1.18,1602910,1354258.67
9,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),-0.29%,163.00,163.48,1.91,1146073,598702.10
10,AIR.PA,Airbus SE (ENXTPA:AIR),-1.06%,130.50,131.90,1.39,1661849,1196506.86
11,AKE.PA,Arkema S.A. (ENXTPA:AKE),-5.14%,77.50,81.70,1.84,252011,137316.71
12,AKW.PA,Akwel SA (ENXTPA:AKW),-1.96%,10.00,10.20,0.48,1061,2201.57
13,ALO.PA,Alstom SA (ENXTPA:ALO),-0.76%,17.00,17.12,1.23,1554446,1268854.33
14,ALTA.PA,Altarea SCA (ENXTPA:ALTA),-4.75%,96.20,101.00,2.09,9034,4329.10
15,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),-0.16%,185.50,185.80,1.32,76211,57717.19
16,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),-3.20%,62.00,64.05,1.65,220950,134090.90
17,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),-1.34%,11.82,11.98,2.17,39367,18148.48
18,APAM.AS,Aperam S.A. (ENXTAM:APAM),-0.08%,24.74,24.76,1.34,280915,208912.00
20,ARG.PA,Argan SA (ENXTPA:ARG),-2.88%,74.30,76.50,0.86,7244,8442.38
21,ASY.PA,Assystem S.A. (ENXTPA:ASY),-4.19%,45.70,47.70,1.14,13674,12002.33
22,ATE.PA,Alten S.A. (ENXTPA:ATE),-2.22%,94.85,97.00,1.20,59608,49836.52
23,ATO.PA,Atos SE (ENXTPA:ATO),-6.00%,0.85,0.90,0.37,2261896,6146052.95
24,AVT.PA,Avenir Telecom S.A. (ENXTPA:AVT),-6.84%,0.09,0.09,4.87,666929,136914.00
25,AYV.PA,Ayvens (ENXTPA:AYV),-2.89%,6.05,6.22,2.07,912855,441015.43
26,BALYO.PA,Balyo SA (ENXTPA:BALYO),-0.51%,0.58,0.58,1.44,9346,6480.38
27,BB.PA,Société BIC SA (ENXTPA:BB),-1.90%,56.70,57.80,1.12,27313,24420.00
28,BEN.PA,Bénéteau S.A. (ENXTPA:BEN),0.47%,8.50,8.46,0.89,146919,165613.19
29,BIG.PA,BigBen Interactive (ENXTPA:BIG),-6.43%,2.11,2.26,2.04,58381,28552.86
30,BIM.PA,bioMérieux S.A. (ENXTPA:BIM),-0.77%,96.65,97.40,1.34,99481,74000.19
31,BLC.PA,Bastide Le Confort Médical SA (ENXTPA:BLC),-7.32%,19.00,20.50,2.27,9941,4372.86
32,BLV.PA,Believe S.A. (ENXTPA:BLV),0.29%,14.06,14.02,1.06,3489,3285.67
33,BN.PA,Danone S.A. (ENXTPA:BN),-1.69%,60.50,61.54,1.93,2312500,1198223.10
34,BNP.PA,BNP Paribas SA (ENXTPA:BNP),-1.78%,58.60,59.66,1.92,4847967,2523565.38
35,BOI.PA,Boiron SA (ENXTPA:BOI),-2.03%,31.30,31.95,0.58,964,1668.57
36,BOL.PA,Bolloré SE (ENXTPA:BOL),0.73%,5.50,5.46,4.27,3461784,811331.05
37,BON.PA,Bonduelle SCA (ENXTPA:BON),1.30%,7.03,6.94,2.66,59474,22327.71
38,BVI.PA,Bureau Veritas SA (ENXTPA:BVI),-1.28%,27.70,28.06,0.84,567318,674099.86
39,CA.PA,Carrefour SA (ENXTPA:CA),-1.19%,13.70,13.87,1.31,2210541,1682361.81
40,CAFO.PA,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme (ENXTPA:CAFO),-3.15%,8.62,8.90,3.72,3184,855.00
41,CAP.PA,Capgemini SE (ENXTPA:CAP),-2.43%,175.00,179.35,1.54,599056,388274.90
42,CARM.PA,Carmila S.A. (ENXTPA:CARM),-2.62%,16.34,16.78,1.50,51378,34158.05
43,CATG.PA,SA Catana Group (ENXTPA:CATG),-2.15%,4.55,4.65,1.55,79246,51075.24
44,CDA.PA,Compagnie des Alpes SA (ENXTPA:CDA),-0.62%,12.76,12.84,2.40,80120,33431.14
45,CGM.PA,Cegedim SA (ENXTPA:CGM),-3.59%,12.10,12.55,0.89,4383,4921.05
46,CLA.PA,Claranova SE (ENXTPA:CLA),-6.83%,1.47,1.58,3.95,301919,76377.05
47,CLARI.PA,Clariane SE (ENXTPA:CLARI),-7.67%,1.66,1.80,1.84,2187525,1188163.71
48,CO.PA,"Casino, Guichard-Perrachon S.A. (ENXTPA:CO)",2.01%,3.43,3.36,1.57,270069,172325.14
49,COFA.PA,COFACE SA (ENXTPA:COFA),-4.80%,12.89,13.54,2.88,413474,143551.48
50,COV.PA,Covivio (ENXTPA:COV),-4.44%,46.50,48.66,1.48,139934,94617.19
51,CRI.PA,Chargeurs SA (ENXTPA:CRI),-3.43%,9.85,10.20,1.78,7684,4328.24
52,CS.PA,AXA SA (ENXTPA:CS),-2.67%,31.40,32.26,1.90,5541188,2915287.67
53,DBG.PA,Derichebourg SA (ENXTPA:DBG),-1.66%,4.51,4.58,1.56,232895,149360.76
54,DBV.PA,DBV Technologies S.A. (ENXTPA:DBV),0.12%,0.86,0.86,0.67,87075,130653.90
55,DEC.PA,JCDecaux SE (ENXTPA:DEC),-6.22%,17.65,18.82,2.29,227424,99424.67
56,DG.PA,Vinci SA (ENXTPA:DG),-1.22%,101.00,102.25,1.30,1187148,916434.71
57,DIM.PA,Sartorius Stedim Biotech S.A. (ENXTPA:DIM),-1.96%,172.30,175.75,0.73,88648,120841.24
58,DKUPL.PA,ADLPartner SA (ENXTPA:DKUPL),-4.86%,33.30,35.00,2.17,1388,638.24
59,DSY.PA,Dassault Systèmes SE (ENXTPA:DSY),-1.93%,33.00,33.65,1.23,2102448,1707605.10
60,EAPI.PA,Euroapi S.A. (ENXTPA:EAPI),-4.50%,3.61,3.78,1.33,242334,181531.29
61,EDEN.PA,Edenred SE (ENXTPA:EDEN),-2.41%,35.64,36.52,1.04,797101,764192.10
62,EKI.PA,EKINOPS S.A. (ENXTPA:EKI),-1.34%,3.32,3.36,0.70,19479,27636.14
63,EL.PA,EssilorLuxottica Société anonyme (ENXTPA:EL),-0.43%,207.50,208.40,1.25,649050,520319.05
64,ELIOR.PA,Elior Group SA (ENXTPA:ELIOR),-3.93%,2.93,3.05,1.42,694258,487770.19
65,ELIS.PA,Elis SA (ENXTPA:ELIS),-0.69%,20.26,20.40,1.74,521501,300051.14
66,EN.PA,Bouygues SA (ENXTPA:EN),-1.38%,30.84,31.27,1.47,923691,628174.05
67,ENGI.PA,Engie SA (ENXTPA:ENGI),-0.60%,14.83,14.92,1.51,8768480,5791601.52
68,ENX.PA,Euronext N.V. (ENXTPA:ENX),-2.09%,91.20,93.15,2.56,436715,170696.90
69,EOS.PA,Acteos SA (ENXTPA:EOS),-3.38%,1.28,1.33,0.51,591,1161.10
70,ERA.PA,ERAMET S.A. (ENXTPA:ERA),-4.87%,69.35,72.90,2.10,122342,58235.57
71,ERF.PA,Eurofins Scientific SE (ENXTPA:ERF),-2.21%,53.18,54.38,0.95,382717,403539.14
72,ES.PA,Esso S.A.F. (ENXTPA:ES),-5.41%,126.00,133.20,1.43,26798,18701.14
73,ETL.PA,Eutelsat Group (ENXTPA:ETL),-0.17%,4.57,4.57,1.84,245747,133807.29
74,EXA.PA,Exail Technologies (ENXTPA:EXA),-3.24%,16.14,16.68,1.58,23099,14602.19
